county,AbsorptiveCapacity,AbsorptiveCapacity_se,lower,upper
Akobo,25.316403400868488,1.249282746807606,22.86780921712558,27.764997584611397
Baliet,33.75225531691526,4.951573893683023,24.047170485296533,43.45734014853399
Budi,30.96047776731422,1.721353154846873,27.58662558381435,34.334329950814094
Duk,37.47755381990903,2.482328589225175,32.61218978502769,42.34291785479038
Jur River,21.206049381187302,1.0121576795109046,19.22222032934593,23.189878433028674
Kapoeta North,45.45738854544089,2.2028090627654184,41.13988278242067,49.774894308461114
Leer,27.28592055965641,1.604335981686317,24.14142203555123,30.430419083761592
Mayendit,33.61489233803132,1.9217878098738101,29.84818823067865,37.381596445383984
Paynijar,32.51499646969854,2.9269736557945167,26.778128104341285,38.25186483505579
Pibor,51.26428437112177,2.7130946943620984,45.94661877017205,56.581949972071484
Ulang,32.86729119458903,3.125311353501831,26.74168094172544,38.99290144745262
Uror,22.178079630802408,1.6254566390714793,18.992184618222307,25.36397464338251
Wau,17.602462220929894,1.479964101380889,14.701732582223352,20.503191859636438
