Region,State,County,Indicator,Range,Score,Value_se,var_name,margin,lower,upper,ci,ci2,cnty_rnk
Great Upper Nile,Jonglei,Pibor,Household Dietary Diversity Scale,0-12,9.43507584265234,0.308473997153152,hdds,0.6046090344201779,8.830466808232162,10.039684877072519,883% - 1004%,8.8 - 10,1
Equatoria,Eastern Equatoria,Kapoeta North,Household Dietary Diversity Scale,0-12,6.6674412899710145,0.3988048265320987,hdds,0.7816574600029135,5.885783829968101,7.449098749973928,588.6% - 744.9%,5.9 - 7.4,2
Great Upper Nile,Unity,Leer,Household Dietary Diversity Scale,0-12,6.263467702908664,0.17838326904413054,hdds,0.3496312073264959,5.913836495582168,6.61309891023516,591.4% - 661.3%,5.9 - 6.6,3
Great Upper Nile,Jonglei,Duk,Household Dietary Diversity Scale,0-12,6.222908086707404,0.5422644802752176,hdds,1.0628383813394264,5.160069705367977,7.285746468046831,516% - 728.6%,5.2 - 7.3,4
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Household Dietary Diversity Scale,0-12,6.14222985611894,0.4128996782073588,hdds,0.8092833692864232,5.332946486832516,6.951513225405363,533.3% - 695.2%,5.3 - 7,5
Great Upper Nile,Jonglei,Akobo,Household Dietary Diversity Scale,0-12,6.079698158889319,0.3029539337508493,hdds,0.5937897101516646,5.485908448737654,6.673487869040984,548.6% - 667.3%,5.5 - 6.7,6
Great Upper Nile,Unity,Mayendit,Household Dietary Diversity Scale,0-12,5.9966318419615225,0.22320314753662665,hdds,0.4374781691717882,5.559153672789734,6.434110011133311,555.9% - 643.4%,5.6 - 6.4,7
Great Upper Nile,Upper Nile,Ulang,Household Dietary Diversity Scale,0-12,5.813216157879664,0.6443867859328096,hdds,1.2629981004283068,4.550218057451357,7.076214258307971,455% - 707.6%,4.6 - 7.1,8
Great Upper Nile,Unity,Paynijar,Household Dietary Diversity Scale,0-12,5.786391403990183,0.6046562186868779,hdds,1.1851261886262807,4.601265215363902,6.971517592616463,460.1% - 697.2%,4.6 - 7,9
Great Upper Nile,Upper Nile,Baliet,Household Dietary Diversity Scale,0-12,5.557574354061373,0.5593545184771798,hdds,1.0963348562152724,4.4612394978461,6.6539092102766455,446.1% - 665.4%,4.5 - 6.7,10
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Household Dietary Diversity Scale,0-12,5.228722875469346,0.14022067131513302,hdds,0.2748325157776607,4.953890359691686,5.503555391247007,495.4% - 550.4%,5 - 5.5,11
Great Upper Nile,Jonglei,Uror,Household Dietary Diversity Scale,0-12,4.9797168956011255,0.3360233349541992,hdds,0.6586057365102305,4.321111159090895,5.638322632111356,432.1% - 563.8%,4.3 - 5.6,12
Equatoria,Eastern Equatoria,Budi,Household Dietary Diversity Scale,0-12,3.9964195158207447,0.1768920815799475,hdds,0.3467084798966971,3.6497110359240477,4.343127995717442,365% - 434.3%,3.6 - 4.3,13
