Disaggregate,Disaggregate type,hdds,hdds_se,lower,upper
County,Akobo,6.079698158889319,0.3029539337508493,5.485908448737654,6.673487869040984
County,Baliet,5.557574354061373,0.5593545184771797,4.461239497846101,6.653909210276645
County,Budi,3.9964195158207447,0.1768920815799475,3.6497110359240477,4.343127995717442
County,Duk,6.222908086707404,0.5422644802752176,5.160069705367977,7.285746468046831
County,Jur River,5.228722875469346,0.14022067131513302,4.953890359691686,5.503555391247007
County,Kapoeta North,6.6674412899710145,0.3988048265320986,5.885783829968101,7.449098749973928
County,Leer,6.263467702908664,0.17838326904413054,5.913836495582168,6.61309891023516
County,Mayendit,5.9966318419615225,0.22320314753662665,5.559153672789734,6.434110011133311
County,Paynijar,5.786391403990183,0.6046562186868778,4.601265215363902,6.971517592616463
County,Pibor,9.43507584265234,0.308473997153152,8.830466808232162,10.039684877072519
County,Ulang,5.813216157879664,0.6443867859328096,4.550218057451357,7.076214258307971
County,Uror,4.9797168956011255,0.3360233349541992,4.321111159090895,5.638322632111356
County,Wau,6.14222985611894,0.4128996782073588,5.332946486832516,6.951513225405363
