variable,item,difficulty,discrimination
grp_water,q501a,0.5403871561618949,0.9082322333497512
grp_land,q501b,0.476768981529985,2.2703027771310547
grp_resource,q501c,1.2888906215996785,1.5641328491590134
grp_credit,q501d,2.054019103689717,1.378111982721444
grp_savings,q501e,2.554555890639959,1.047602347682005
grp_help,q501f,1.950488174325071,0.9506127548967136
grp_relig,q501g,-0.9066403403687809,1.1296331042391081
grp_mother,q501h,-0.05422027155262048,1.4294792205349247
grp_women,q501i,-0.3180525747393411,1.4130367182250474
grp_youth,q501j,-0.32787784477877774,1.9407117399405027
grp_sports,q501k,0.3244120032136888,1.0524021848567737
grp_disaster,q501l,0.9205668184074535,1.6646904267722913
grp_raiding,q501m,0.7051078774026641,2.4016098899065503
grp_herding,q501n,0.038215161454716415,6.242969655466084
grp_cattleprotect,q501o,0.035786584508632605,5.489366197775939
grp_animalherding,q501p,0.20545210446235138,2.638922407259635
